Artist	United States	United Kingdom	Germany	Canada	France	Australia	Austria	Ireland	Italy	Sweden	Netherlands	Spain
Rihanna	13	8	5	9	4	8	5	6	2	3	1	1
Britney Spears	5	6	3	6	2	5	3	7	3	4	4	1
Madonna	12	13	4	2	3	11	2	8	9	6	5	6
Whitney Houston	11	4	3	7	1	3	1	2	0	2	2	0
Michael Jackson	13	7	2	5	3	4	0	9	0	1	5	15
Eminem	5	8	3	4	1	8	4	7	3	4	2	1
Elton John	9	7	3	19	4	4	1	3	0	1	4	0
Elvis Presley	17	21	1	23	0	12	0	8	1	1	5	0
The Beatles	20	17	12	22	0	22	9	13	0	0	22	0
U2	2	7	0	14	0	5	1	19	3	0	3	4
The Black Eyed Peas	3	5	4	3	2	8	4	4	3	3	1	1
ABBA	1	9	9	0	0	6	3	12	0	3	10	0
